"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"LABEL";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"2";"0.1uF";"C-USC0805";"C0805";"C2, C8";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"11";"0.1uf";"C-USC0805";"C0805";"C1, NC1, NC2, NC3, NC4, NC5, NC6, NC7, NC8, NC9, NC10";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"1";"10R";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"10uf";"C-USC0805";"C0805";"C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"1";"1mF";"CPOL-EU153CLV-1012";"153CLV-1012";"C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";
"1";"200pF";"C-USC0805";"C0805";"C9";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"2";"4.7k";"R-US_R0805";"R0805";"R5, R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"68R";"R-US_R0805";"R0805";"R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"B10B-PH-K";"B10B-PH-K";"B10B-PH-K";"P1";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT-2POS";"JUMPER-SMT-2POS";"SMT-JUMPER_2_NO_NO-SILK";"JP4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"JUMPER-SMT-3POS_NC_ONE";"JUMPER-SMT-3POS_NC_ONE";"SMT-JUMPER_3_1-NC_TRACE_NO-SILK";"JP1, JP3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SHTC3";"SHTC3";"SHTC3";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SPH-IMPROVED";"SPH-IMPROVED";"MIC_SPH0645LM4H-B_LARGER_RING";"MK_REAR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"VEML6030-GS15";"VEML6030-GS15";"VISHAY_VEML6030_2X2X0.87";"U2";"VEML6030";"Unavailable";" Optical Sensor Ambient 550nm I²C 6-SMD, No Lead  ";"";"";"";"";"Vishay Semiconductor";"";"";"VEML6030-GS15";"SMD-6 Vishay";"";"None";"";"";"";
"1";"VEML7700-TT";"VEML7700-TT";"VEML7700";"VEML_F";"16Bit Ambient Light Sensor I2C 6.8x2.3mm";"";"16Bit Ambient Light Sensor I2C 6.8x2.3mm";"mm";"";"Vishay";"VEML7700-TT";"";"78-VEML7700-TT";"https://www.mouser.com/Search/Refine.aspx?Keyword=78-VEML7700-TT";"";"";"";"";"1226791P";"http://uk.rs-online.com/web/p/products/1226791P";"";
"10";"WS2812";"WS2812";"WS2812B";"NEO_01, NEO_02, NEO_03, NEO_04, NEO_05, NEO_06, NEO_07, NEO_08, NEO_09, NEO_10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
