"Qty";"Value";"Device";"Package";"Parts";"Description";"LABEL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VALUE";
"4";"";"B3B-PH-K";"B3B-PH-K";"C_POT1, NEO_PIX1, NEO_PIX2, NEO_PIX3";"HEADER";"";"";"";"";"";"";
"2";"";"CONN_06POLAR";"MOLEX-1X6";"MEMS_L, MEMS_R";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"2";"100k";"TRIMPOTTC33X";"TC33X";"TM1, TM2";"SMT trimmer potentiometer part number TC33X";"";"";"";"";"";"";
"2";"100nf";"C-USC2012";"C2012";"C5, C6";"CAPACITOR, American symbol";"";"";"";"";"";"";
"1";"10uf";"DIP-ALUMINUM-47UF-16V(D5-H7MM)";"PC-D5.3MM";"C4";"302030033";"";"";"KS 100uF/16V";"";"";"100uf";
"6";"1N4004";"DIODEPTH";"DIODE-1N4001";"D1, D2, D3, D4, D5, D6";"Diode";"";"";"";"";"";"";
"6";"1k";"R-US_M1206";"M1206";"R1, R2, R3, R4, R5, R6";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"220R";"R-US_M1206";"M1206";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"33uf";"DIP-ALUMINUM-47UF-16V(D5-H7MM)";"PC-D5.3MM";"C2";"302030033";"";"";"KS 100uF/16V";"";"";"100uf";
"2";"4.7k";"R-US_M1206";"M1206";"R10, R11";"RESISTOR, American symbol";"";"";"";"";"";"";
"8";"5566-2";"5566-2";"5566-2";"12V_IN, MOT, SOL1, SOL2, SOL3, SOL4, SOL5, SOL6";"Mini FIT connector 2 pol";"";"MOLEX";"";"1822072";"unknown";"";
"4";"B2B-PH-K";"B2B-PH-K";"B2B-PH-K";"LDR1, LDR2, REG_PWR, STATUS_LED";"HEADER";"";"";"";"";"";"";
"2";"B4B-PH-K";"B4B-PH-K";"B4B-PH-K";"I2C1, I2C2";"HEADER";"";"";"";"";"";"";
"6";"PNO8L07";"IRF540";"TO220BV";"Q1, Q2, Q3, Q4, Q5, Q6";"HEXFET Power MOSFET";"";"";"";"";"";"";
"1";"POLOLU_MAX14870";"POLOLU_MAX14870";"POLOLU_MAX14870";"U$1";"";"";"";"";"";"";"";
"1";"S9V11F5S6CMA_MISSINIG_PINS";"S9V11F5S6CMA_MISSINIG_PINS";"S9V11F3S5CMA_MISSING_PINS";"PWR_REG";"";"";"";"";"";"";"";
"1";"SHTC3";"SHTC3";"SHTC3";"U1";"";"";"";"";"";"";"";
"1";"TEENSY_3.1-3.2_DIL";"TEENSY_3.1-3.2_DIL";"TEENSY_3.0-3.2&LC_DIL";"U$3";"Teensy 3.1 or 3.2 in a DIL Layout.";"";"";"";"";"";"";
"1";"en_test";"CONN_01";"1X01";"TP10";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"ldr1_test_h";"CONN_01";"1X01";"TP3";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"ldr1_test_l";"CONN_01";"1X01";"TP6";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"ldr2_test_h";"CONN_01";"1X01";"TP4";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"ldr2_test_l";"CONN_01";"1X01";"TP5";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"neop_test1";"CONN_01";"1X01";"TP9";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"neop_test2";"CONN_01";"1X01";"TP8";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"1";"neop_test3";"CONN_01";"1X01";"TP7";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
